comment,cleaned_comment,sentiment
"Saw it yesterday on the IMAX, and 100% loved it!",saw it yesterday on the imax and 100 loved it,Positive
"Interesting how this director when from Top Gun: Maverick to F1, sort of like Tony Scott went from Top Gun to Days of Thunder",interesting how this director when from top gun maverick to f1 sort of like tony scott went from top gun to days of thunder,Positive
Who's here after rosé's messy MV 😊❤,whos here after ross messy mv ,Negative
LETS FREAKING GOOO!!!!!!🗣️🔥🔥🔥(EDIT: so what’s our thoughts?),lets freaking goooedit so whats our thoughts,Neutral
THE SMILE I GOT ON MY FACE WHEN I HEARD THE CHAIN COME ON😭😭,the smile i got on my face when i heard the chain come on,Positive
0:42 anyone knows what sunglasses hes wearing in that shot?,042 anyone knows what sunglasses hes wearing in that shot,Neutral
Up up up up ❤,up up up up ,Neutral
"Can't imagine a single F1 fan watching this movie, I certainly won't be, a 60 year old driver, seriously",cant imagine a single f1 fan watching this movie i certainly wont be a 60 year old driver seriously,Negative
"My wife used to hate F1. Because of the Senna series. Race to survive.  Now this movie. She is a fan for life. 
It's a movie. A big. Push for the sport. Also for people to see what these men are capable.  I had fun. And was paying attention and asking. For more.","my wife used to hate f1 because of the senna series race to survive  now this movie she is a fan for life 
its a movie a big push for the sport also for people to see what these men are capable  i had fun and was paying attention and asking for more",Positive
Movie was 10/10 just watched it and i don’t know anything about f1,movie was 1010 just watched it and i dont know anything about f1,Neutral
CANT WAIT........................🤞,cant wait,Neutral
Verstappen gonna be the villain in this one unintentionally 💀,verstappen gonna be the villain in this one unintentionally ,Neutral
You can tell its going to be Top Gun in F1.,you can tell its going to be top gun in f1,Positive
"Meh.... Waiting for Dominic Toretto to appear and say ""family""",meh waiting for dominic toretto to appear and say family,Neutral
"So, this story is ALONSO vs LEWIS from 2007?",so this story is alonso vs lewis from 2007,Neutral
Great Point ! 👉,great point  ,Positive
pls english,pls english,Neutral
@bodguy7that is English,bodguy7that is english,Neutral
excited for watch this in theatre,excited for watch this in theatre,Positive
Aviators,aviators,Neutral
Possibly Ray-Ban RB3607,possibly rayban rb3607,Neutral
They look like navigators,they look like navigators,Neutral
Swiming glass,swiming glass,Neutral
cartier glasses,cartier glasses,Neutral
Window glass,window glass,Neutral
I Think they are Tom Ford’s,i think they are tom fords,Neutral
100rs glass near Secunderabad station,100rs glass near secunderabad station,Positive
Yea the robocop glasses 👓  why u worried about someone else’s stuff ? 😂,yea the robocop glasses   why u worried about someone elses stuff  ,Neutral
looks 40,looks 40,Neutral
C'mon😂,cmon,Neutral
He will park his car next to the F1 car and ask for a race,he will park his car next to the f1 car and ask for a race,Neutral
The difference is that Alonso was fresh from 2 back to back wdc when he teamed up with Lewis whereas it seems like Sonny Hayes hasn't raced in F1 for over a decade and has had little to no success.,the difference is that alonso was fresh from 2 back to back wdc when he teamed up with lewis whereas it seems like sonny hayes hasnt raced in f1 for over a decade and has had little to no success,Negative
where is Gunther.....??,where is gunther,Neutral
Man I love racing movies. Ford v Ferrari and rush my favourites.,man i love racing movies ford v ferrari and rush my favourites,Positive
The first movie ever that got spoiled before it was released 💀,the first movie ever that got spoiled before it was released ,Positive
This could have been a grilled cheese,this could have been a grilled cheese,Neutral
The camera position is ON POINT,the camera position is on point,Neutral
MAN the sound in this movie is going to be NUTS!!! I'm so excited!!,man the sound in this movie is going to be nuts im so excited,Positive
"It's probably just me, but Brad Pitt sure does sound like his character (Aldo Raine) in Inglorious Basterds here. But anyway, one reason I'm stoked to see this at the theaters would be to experience it in Dolby Atmos.",its probably just me but brad pitt sure does sound like his character aldo raine in inglorious basterds here but anyway one reason im stoked to see this at the theaters would be to experience it in dolby atmos,Positive
Braking Point 2 in another universe,braking point 2 in another universe,Neutral
We really want to see how they will display the skill of Lance Stroll driving in here💀.,we really want to see how they will display the skill of lance stroll driving in here,Positive
One of the best racing movies I've ever seen.,one of the best racing movies ive ever seen,Positive
0:41 what is future doing here,041 what is future doing here,Neutral
Who came after Rose MV❤😂,who came after rose mv,Positive
Alonso & Hamilton in 2007? 🤔,alonso  hamilton in 2007 ,Neutral
Great movie. Saw it yesterday 🏎️,great movie saw it yesterday ,Positive
1:33 FERNANDO ALONSO 33!!!!!,133 fernando alonso 33,Neutral
1:22 is the 1st error i see in this trailer... Head tilts forward during start... Come on... Rookie mistake...,122 is the 1st error i see in this trailer head tilts forward during start come on rookie mistake,Neutral
Go watch it and judge it later. It’s worth it.,go watch it and judge it later its worth it,Positive
"A movie about a fictional story, with a fictional driver vs fictional opponents on a fictional team",a movie about a fictional story with a fictional driver vs fictional opponents on a fictional team,Neutral
"Not gonna lie, I love Formula 1, but this looks utter 5h!T.",not gonna lie i love formula 1 but this looks utter 5ht,Positive
Looks like a cliche fest. At least the way the trailer was made...,looks like a cliche fest at least the way the trailer was made,Negative
But it didn’t though,but it didnt though,Neutral
Grizzled veteran of <thing> is kind of his typecast right now but that’s not a bad thing.,grizzled veteran of thing is kind of his typecast right now but thats not a bad thing,Positive
but actually better,but actually better,Positive
Exactly my thought 😂,exactly my thought ,Positive
😂😂,,Neutral
counter movement 😂,counter movement ,Neutral
Yes. Otherwise it would be a documentary and not a movie.,yes otherwise it would be a documentary and not a movie,Neutral
"against *real opponents actually, since all of the real drivers are in the movie",against real opponents actually since all of the real drivers are in the movie,Positive
"@craigritchie8470  goofy craig, they should instead look at Star Wars a new hope and make great movies like those
thanks goofy and have a nice day.","craigritchie8470  goofy craig they should instead look at star wars a new hope and make great movies like those
thanks goofy and have a nice day",Positive
Yes like most movies it’s fiction,yes like most movies its fiction,Positive
Is this supposed to be funny or clever? We all know what a movie is and nobody is surprised it's fictional.,is this supposed to be funny or clever we all know what a movie is and nobody is surprised its fictional,Positive
"Did you know that the sky is blue? 







But jokes aside they aren't fictional opponents they're actual drivers on actual teams.","did you know that the sky is blue 







but jokes aside they arent fictional opponents theyre actual drivers on actual teams",Neutral
"Truly riveting, I don't think I'll bother.",truly riveting i dont think ill bother,Neutral
"The video was so well-made, it really touched me.",the video was so wellmade it really touched me,Positive
When I heard chain in the background… damm chills,when i heard chain in the background damm chills,Neutral
10/10 for me. Awesome movie 👍👍👍👍👍👍,1010 for me awesome movie ,Positive
Very interesting movie especially last 20 minutes ending...,very interesting movie especially last 20 minutes ending,Positive
Movie slapped,movie slapped,Neutral
Steering reactions in the cockpit are hilarious 😂 I mean he’s steering in a straight line 😂,steering reactions in the cockpit are hilarious  i mean hes steering in a straight line ,Positive
LET'S GO!!!,lets go,Neutral
"What a dumb premise. Anyone who knows anything about Formula 1 will know how unrealistic this scenario is. A 50 year old guy with no experience as an F1 driver gets a cockpit in an F1 team to mentor some young dude? Yeah, right.

I understand Americans know nothing about F1 and will think that this is a realistic plot, but come on. You can't be that dumb.","what a dumb premise anyone who knows anything about formula 1 will know how unrealistic this scenario is a 50 year old guy with no experience as an f1 driver gets a cockpit in an f1 team to mentor some young dude yeah right

i understand americans know nothing about f1 and will think that this is a realistic plot but come on you cant be that dumb",Negative
2:26 Lewis Hamilton and Eren Kruger? Crazy to see Lewis and an Attack on Titan reference,226 lewis hamilton and eren kruger crazy to see lewis and an attack on titan reference,Negative
"The video was so well-made, it really touched me.",the video was so wellmade it really touched me,Positive
"The video was so well-made, it really touched me.",the video was so wellmade it really touched me,Positive
"The video was so well-made, it really touched me.",the video was so wellmade it really touched me,Positive
"The video was so well-made, it really touched me.",the video was so wellmade it really touched me,Positive
"The video was so well-made, it really touched me.",the video was so wellmade it really touched me,Positive
"The video was so well-made, it really touched me.",the video was so wellmade it really touched me,Positive
"The video was so well-made, it really touched me.",the video was so wellmade it really touched me,Positive
"The video was so well-made, it really touched me.",the video was so wellmade it really touched me,Positive
"The video was so well-made, it really touched me.",the video was so wellmade it really touched me,Positive
"The video was so well-made, it really touched me.",the video was so wellmade it really touched me,Positive
"You're completely wrong.

He's 60 years old.","youre completely wrong

hes 60 years old",Negative
Brings back memories of Grandprix in India. I was one of the vendors for Paddock Club. What a great synergy.,brings back memories of grandprix in india i was one of the vendors for paddock club what a great synergy,Positive
"Just watched the movie in IMAX. Absolute treat for the sports lovers... Great pace, edge of seat experience",just watched the movie in imax absolute treat for the sports lovers great pace edge of seat experience,Positive
Amazing movie! as a car enthusiast I got goosebumps as I heard the engines roaring and cried at the end with goosebumps as well. Well done!,amazing movie as a car enthusiast i got goosebumps as i heard the engines roaring and cried at the end with goosebumps as well well done,Positive
I cannot wait to feel the rumble in the theater speakers of those cars going by the camera,i cannot wait to feel the rumble in the theater speakers of those cars going by the camera,Neutral
This was such a fun blast to watch. I’ll definitely head back to see it again and I rarely do that. But this one is worth it.,this was such a fun blast to watch ill definitely head back to see it again and i rarely do that but this one is worth it,Positive
1:56 what a dialogue I will take that life man 1000 times....🎉🎉🎉🎉,156 what a dialogue i will take that life man 1000 times,Neutral
BRICK BY BRICK!!,brick by brick,Neutral
"Was at the Chinese theater yesterday to watch this great movie. For those who cannot afford recommending, it shows international racing tracks, and events which happen in real time . The Chinese theater is beautiful.",was at the chinese theater yesterday to watch this great movie for those who cannot afford recommending it shows international racing tracks and events which happen in real time  the chinese theater is beautiful,Positive
My wife and I just watched on Imax. Wonderfully excitiing and Pitt was quite cool.,my wife and i just watched on imax wonderfully excitiing and pitt was quite cool,Positive
Just saw it tonight It was a great watch,just saw it tonight it was a great watch,Positive
Reminds me of Braking Point in F1 22,reminds me of braking point in f1 22,Neutral
This and avatar are the only movies I’m guaranteed to see in the theaters this year,this and avatar are the only movies im guaranteed to see in the theaters this year,Neutral
"Can we take a moment to acknowledge that Javier Bardem's voice performance is reaching new levels of ""legendary"" with each movie? 
I mean, he's up there with Cristopher Walken, Frank Langella, Terrence Stamp...","can we take a moment to acknowledge that javier bardems voice performance is reaching new levels of legendary with each movie 
i mean hes up there with cristopher walken frank langella terrence stamp",Positive
"Just watched the movie at a screening, it was amazing!!!",just watched the movie at a screening it was amazing,Positive
What a great time to be a Formula One fan!,what a great time to be a formula one fan,Positive
This is the movie that saves the Box Office this year in June!,this is the movie that saves the box office this year in june,Neutral
"Your videos are always so helpful, thank you!",your videos are always so helpful thank you,Neutral
That F1 2013 outro song ❤️💪🏽,that f1 2013 outro song ,Neutral
Dam thats Franklin from snowfall didn't expect him in this 😂😂,dam thats franklin from snowfall didnt expect him in this ,Neutral
Hands down this movie was amazing and had a great cast this felt like a Classic movie,hands down this movie was amazing and had a great cast this felt like a classic movie,Positive
John wick will,john wick will,Neutral
"1:01 that soft note when it hits thrills me
Use headphones","101 that soft note when it hits thrills me
use headphones",Positive
F1 THE MOVIE ❤🥳,f1 the movie ,Neutral
Hearing The Chain made me very happy! Seeing Silverstone ❤,hearing the chain made me very happy seeing silverstone ,Positive
Most original movie😍😍😍,most original movie,Positive
This bout to be one of the greatest movies of all time🔥,this bout to be one of the greatest movies of all time,Positive
I can’t stop thinking about how epic this looks!,i cant stop thinking about how epic this looks,Positive
I’m going to see it later today,im going to see it later today,Neutral
loved being in the car,loved being in the car,Positive
"Movie crushed it, top! 🎉",movie crushed it top ,Positive
"It’s time to start making movies like this again.  
Let’s go!","its time to start making movies like this again  
lets go",Neutral
"""there's this new guy,he's old""


hi there Fernando Alonso","theres this new guyhes old


hi there fernando alonso",Positive
fav movie of 2025 so far ez,fav movie of 2025 so far ez,Positive
Franklin Franklin Franklin smh my gawd 🖤,franklin franklin franklin smh my gawd ,Neutral
Days of Thunder is still the best racing movie of all time after all these years. I have a feeling it will likely stay in that position.,days of thunder is still the best racing movie of all time after all these years i have a feeling it will likely stay in that position,Positive
After ford vs Ferrari this will be the best movie 🎉,after ford vs ferrari this will be the best movie ,Positive
Wow what a movie! FANTASTIC!,wow what a movie fantastic,Positive
Now this is going to be a movie 🔥,now this is going to be a movie ,Neutral
"Mentioning ""From the Director of Top Gun:Maverick"" makes me even more excited for this film.",mentioning from the director of top gunmaverick makes me even more excited for this film,Positive
They're using The Chain in the soundtrack. I'm already sold on this film.,theyre using the chain in the soundtrack im already sold on this film,Neutral
They had tu use this song I love so much 😭,they had tu use this song i love so much ,Positive
"Cant wait for sequel:
F2: Ricky Bobby vs Speed Racer","cant wait for sequel
f2 ricky bobby vs speed racer",Neutral
"great, love from China❤",great love from china,Positive
"Everything about this trailer looks fantastic. I’m a bit skeptical about the color grading, but I’ll still watch it.",everything about this trailer looks fantastic im a bit skeptical about the color grading but ill still watch it,Negative
The song the characters the bgm  and the cars gives me goosbumps,the song the characters the bgm  and the cars gives me goosbumps,Neutral
This man never older,this man never older,Negative
The Seyna vs Prost rivalry will always beat all Hollywood stories.,the seyna vs prost rivalry will always beat all hollywood stories,Neutral
The chain maybe the best part about this movie,the chain maybe the best part about this movie,Positive
I'm 50...so you're telling me I still have a chance!!,im 50so youre telling me i still have a chance,Neutral
"I'm so happy because today is going to be an awesome day at the Movies, last time I went it was in 2022 to watch Top Gun Maverick, because lately is hard to find a Movie that it is worth it to watch and keep You at the edge of Your seat.🙏",im so happy because today is going to be an awesome day at the movies last time i went it was in 2022 to watch top gun maverick because lately is hard to find a movie that it is worth it to watch and keep you at the edge of your seat,Positive
"I have high hopes for this. I hope it’ll be like Grand Prix, but modern.",i have high hopes for this i hope itll be like grand prix but modern,Positive
"Just saw this, instant classic.",just saw this instant classic,Positive
I was hoping to hear Javier tell Pitt “Call it. You have to call it.”,i was hoping to hear javier tell pitt call it you have to call it,Neutral
"They know how to bait us, ""The Chain"" will be the F1 Song forever",they know how to bait us the chain will be the f1 song forever,Neutral
This is gonna be a billion dollar blockbuster 🔥,this is gonna be a billion dollar blockbuster ,Neutral
I definitely will be watching this,i definitely will be watching this,Neutral
Just saw it in n IMAX.  Totally delivers.   Non-stop racing.,just saw it in n imax  totally delivers   nonstop racing,Neutral
Can't wait.,cant wait,Neutral
Anyone else pause this each time they showed on track clips to test and see if you could figure out which one they're showing,anyone else pause this each time they showed on track clips to test and see if you could figure out which one theyre showing,Neutral
I already know the camera angles gonna be epic,i already know the camera angles gonna be epic,Positive
Gotta loved it ...Braddddddd pittttttttttttttt❤,gotta loved it braddddddd pittttttttttttttt,Positive
I booked tickets for tomorrow's show.... 🔥🔥🤩🤩,i booked tickets for tomorrows show ,Neutral
A smart director. Top gun maverick Same formula that works great. The old wolf returns and gives the rookies both life lessons and kicks,a smart director top gun maverick same formula that works great the old wolf returns and gives the rookies both life lessons and kicks,Positive
"Quite simply, the greatest motor racing movie ever made.",quite simply the greatest motor racing movie ever made,Positive
"I just waited for 2.28 minutes for Javier Bardem to call Brad Pit ""Lisan Al Gaib""",i just waited for 228 minutes for javier bardem to call brad pit lisan al gaib,Neutral
"❌Time to race.
✅Time to go porpoising.","time to race
time to go porpoising",Neutral
This film was 🔥.  Most entertaining film this year. Thankfully apple put it on the big screen.,this film was   most entertaining film this year thankfully apple put it on the big screen,Positive
javier makes every movie he's in watchable,javier makes every movie hes in watchable,Neutral
"Respective Team,
Please bring this masterpiece to India as soon as possible
There are people who love to watch formula one in India","respective team
please bring this masterpiece to india as soon as possible
there are people who love to watch formula one in india",Positive
Last 3second flat out full throttle sound beside ferrari machine make me adrenaline  shock😢 i feel fly,last 3second flat out full throttle sound beside ferrari machine make me adrenaline  shock i feel fly,Positive
"That Javier Bardem saying ""Im offering you a formula 1 "" is an oscar nomination for supporting role 2026.",that javier bardem saying im offering you a formula 1  is an oscar nomination for supporting role 2026,Positive
Amazing movie. Going to watch again!🤩,amazing movie going to watch again,Positive
This is gonna be 🔥,this is gonna be ,Neutral
Looks like they did F1 justice. Top Gun with Cars. :) Will watch it.,looks like they did f1 justice top gun with cars  will watch it,Positive
Can’t lie this probably one of the best movies in a couple years to come out in theaters,cant lie this probably one of the best movies in a couple years to come out in theaters,Positive
"This Movie is going to be the BOMB and Heart Pounding, NO CGI, period, let's bring it on, 👏👏👏👏🤪🤪",this movie is going to be the bomb and heart pounding no cgi period lets bring it on ,Neutral
"Do you all want to see ""the best looking male"" of this earth?  He is the one, William Brad Pitt.  Love your movies sir, from your fan in Thailand.",do you all want to see the best looking male of this earth  he is the one william brad pitt  love your movies sir from your fan in thailand,Positive
Can't wait for it!!!,cant wait for it,Neutral
FI - A 2 hr 35 min film to tell a 90 minute story,fi  a 2 hr 35 min film to tell a 90 minute story,Neutral
Stilgar sure look convincing in a suit,stilgar sure look convincing in a suit,Positive
I'm going to see this movie in the cinema this weekend.,im going to see this movie in the cinema this weekend,Neutral
I think the 1966 Grand Prix with James Garner was better.,i think the 1966 grand prix with james garner was better,Positive
Just ruined with garbage that belongs to bakebah.,just ruined with garbage that belongs to bakebah,Neutral
Ya ok,ya ok,Positive
"Hoping to hear ""it's raidillon actually"" in this movie.",hoping to hear its raidillon actually in this movie,Neutral
Brad can literally play any role,brad can literally play any role,Neutral
Great movie 😊 Love it ❤,great movie  love it ,Positive
Cant believe some part of the movie just recorded with I phone 15 pro,cant believe some part of the movie just recorded with i phone 15 pro,Neutral
Just a few hours away 🔥🔥🔥,just a few hours away ,Negative
🏎️🏁 F1 / Official Trailer, f1  official trailer,Neutral
Pitt is one my lest favorite actors. I’d spend the whole film waiting for him to have a Romain Grosjean moment 🔥,pitt is one my lest favorite actors id spend the whole film waiting for him to have a romain grosjean moment ,Positive
What a brilliant movie . The camera shots are insane ! The sound is terrific too. Oscar nom for Kerry Condon I'd say. She's great in this. So is Brad & Javier . The direction and pace is terrific . Superb movie !,what a brilliant movie  the camera shots are insane  the sound is terrific too oscar nom for kerry condon id say shes great in this so is brad  javier  the direction and pace is terrific  superb movie ,Positive
Just watched. Best watching experience❤,just watched best watching experience,Positive
BRAD PITT ❤😮😊,brad pitt ,Neutral
Top Gun on the race track.,top gun on the race track,Positive
Brad pitt was so cool in the movie❤,brad pitt was so cool in the movie,Positive
これが基本的にフェルナンド・アロンソとルイス・ハミルトンについての映画であることが大好きです,,Neutral
love youuuuu salem kaari❤❤❤❤❤❤❤,love youuuuu salem kaari,Positive
"yup...been a passionate fan since the early 90""s, even inspired me to a degree in Mech Eng, even an avid sim racer/go karter ...
its true ,.... the absolute best!!!","yupbeen a passionate fan since the early 90s even inspired me to a degree in mech eng even an avid sim racergo karter 
its true  the absolute best",Positive
"0:49 At first, I thought it was my Windows.",049 at first i thought it was my windows,Positive
Just saw this film... brilliant cinema!,just saw this film brilliant cinema,Positive
Absolutely brilliant movie. Very exciting. And Brad Pitt acts very well. This and Mission Impossible are enormous movies,absolutely brilliant movie very exciting and brad pitt acts very well this and mission impossible are enormous movies,Positive
Am just Happy seeing Damson Idris in this F1 Movie. Go Franklin,am just happy seeing damson idris in this f1 movie go franklin,Positive
"From what I take of the trailer is that they're aiming to win a race not the entire WDC, which I actually find more realistic, can't wait for this movie",from what i take of the trailer is that theyre aiming to win a race not the entire wdc which i actually find more realistic cant wait for this movie,Positive
I honestly want to see it again 😂❤🎉,i honestly want to see it again ,Positive
I loved this movie! 2 and a half hours and kept me intrigued the whole time. Excellent cinematography. Jerry Bruckheimer never disapoints,i loved this movie 2 and a half hours and kept me intrigued the whole time excellent cinematography jerry bruckheimer never disapoints,Positive
"It could be Alonso and Drugovich, but it is Alonso and the Rich Kid Stroll that don't even he knows what he is doing in the F1.",it could be alonso and drugovich but it is alonso and the rich kid stroll that dont even he knows what he is doing in the f1,Positive
Amazing content as always!,amazing content as always,Positive
Trailer looks crazy,trailer looks crazy,Negative
I want part 2  of F1 movie..,i want part 2  of f1 movie,Neutral
Statements that are made in this movie dishonor those who have died in an F1 car.,statements that are made in this movie dishonor those who have died in an f1 car,Neutral
Movie is absolutely badass,movie is absolutely badass,Positive
Brad Pitt in an F1 movie with a racetrack “Pit Stop” is perfection😂,brad pitt in an f1 movie with a racetrack pit stop is perfection,Neutral
"Yea, wasn’t sure at first, but I’m all over this.",yea wasnt sure at first but im all over this,Positive
2:12 you are the absolute best in the world....🎉🎉🎉🎉,212 you are the absolute best in the world,Positive
Just watched .....what a movie ❤,just watched what a movie ,Neutral
Trailers didnt do this movie justice. Amazing IMAX experience,trailers didnt do this movie justice amazing imax experience,Positive
"Wow,  cant wait🥰",wow  cant wait,Positive
Must watch in theatres 🔥🔥its an experience,must watch in theatres its an experience,Neutral
"Brad Pitt being treated like a senior citizen! Laughed and cried!  
Aging like fine wine. The best!","brad pitt being treated like a senior citizen laughed and cried  
aging like fine wine the best",Positive
Loved it!!!!!!!!!!!!!,loved it,Positive
"i'm having doubts watching this. i'm no sports fan, but i was glued to Money Ball. and its a great film. one Pitts great rolls.",im having doubts watching this im no sports fan but i was glued to money ball and its a great film one pitts great rolls,Positive
"I also watched it, it was the best experience. Just hoping for Formula 1 races to return to the Buddh circuit in India.",i also watched it it was the best experience just hoping for formula 1 races to return to the buddh circuit in india,Positive
Movie is absolutely amazing.,movie is absolutely amazing,Positive
I can’t stop thinking about how epic this looks!,i cant stop thinking about how epic this looks,Positive
love youuuuu salem kaari❤❤❤❤❤❤❤,love youuuuu salem kaari,Positive
I can’t stop thinking about how epic this looks!,i cant stop thinking about how epic this looks,Positive
love youuuuu salem kaari❤❤❤❤❤❤❤,love youuuuu salem kaari,Positive
I can’t stop thinking about how epic this looks!,i cant stop thinking about how epic this looks,Positive
I can’t stop thinking about how epic this looks!,i cant stop thinking about how epic this looks,Positive
I can’t stop thinking about how epic this looks!,i cant stop thinking about how epic this looks,Positive
I can’t stop thinking about how epic this looks!,i cant stop thinking about how epic this looks,Positive
"Joseph kosinki next movie:
Speed boat racing and we've used the best cameras","joseph kosinki next movie
speed boat racing and weve used the best cameras",Positive
“what’s it about?” Epic sprintSSSS with marvelous soundtracks👍,whats it about epic sprintssss with marvelous soundtracks,Positive
"Honestly, looks pretty epic.",honestly looks pretty epic,Positive
never thought i would be seeing franklin saint racing a f1 car,never thought i would be seeing franklin saint racing a f1 car,Neutral
I need to see is movies on Tuesday,i need to see is movies on tuesday,Neutral
Can’t wait to watch it 🤩,cant wait to watch it ,Neutral
The whole plot of this film has been seen already 😂. Filming in front of everybody lol.,the whole plot of this film has been seen already  filming in front of everybody lol,Positive
Watched Movie before watching Trailer 🗿,watched movie before watching trailer ,Neutral
Can't wait to watch this!,cant wait to watch this,Neutral
"Biggest budget movie in the entire history, oh boy...",biggest budget movie in the entire history oh boy,Neutral
Super movie..Best best..Thank you ❤,super moviebest bestthank you ,Positive
Great movie 🍿!!! Definitely worth the watch,great movie  definitely worth the watch,Positive
This movie is incredible,this movie is incredible,Positive
Imagine if the cars were the v10's in this movie. The sound would have been magic!,imagine if the cars were the v10s in this movie the sound would have been magic,Positive
Rare in this cinematography times but movie is actually way more better than the trailer 🔥,rare in this cinematography times but movie is actually way more better than the trailer ,Positive
Amazingggg💫💓,amazingggg,Neutral
Looking forward to this,looking forward to this,Neutral
"An extraordinary movie! I had the chance to see it in 4DX—an unforgettable experience. Beautiful film, kudos to everyone involved. Amazing!❤🙏👏",an extraordinary movie i had the chance to see it in 4dxan unforgettable experience beautiful film kudos to everyone involved amazing,Positive
GOOSEBUMPS❤🎉🎉,goosebumps,Neutral
"I saw this online for free.I liked it a lot, and I must admit that Brad made a lot of ""pit"" stops in this movie. 😂",i saw this online for freei liked it a lot and i must admit that brad made a lot of pit stops in this movie ,Positive
I can't believe Guenther let them feature him in their movie,i cant believe guenther let them feature him in their movie,Neutral
Thats giving me the vibe Jackson Storm  vs Flash Mcqueen,thats giving me the vibe jackson storm  vs flash mcqueen,Neutral
"anton chigurh, tyler durden and franklin saint 💔💔",anton chigurh tyler durden and franklin saint ,Neutral
"It was a lot of fun. Great cinematography. I really disliked the non-stop announcer over the audio, though.",it was a lot of fun great cinematography i really disliked the nonstop announcer over the audio though,Positive
"Radio: Box Box 
Brad: You like dogs?","radio box box 
brad you like dogs",Neutral
1:49 that line was from the mighty ducks,149 that line was from the mighty ducks,Positive
❤❤❤😊👍 I see possibility!, i see possibility,Neutral
Bout to be a classic,bout to be a classic,Positive
"You gotta watch it!
It's simply Amazing! The cars, the speed, the Music, the characters, the plot! What a masterpiece💜💜💜🏁","you gotta watch it
its simply amazing the cars the speed the music the characters the plot what a masterpiece",Positive
"Watched the movie in cinema 🔥— amazing experience. The direction, acting, sound, and visuals were all spot on. I wasn’t into Formula 1 before, but this really pulled me in. Hans Zimmer’s music hit all the right notes, and Brad Pitt still brings serious screen presence. Big credit to Joseph Kosinski for delivering something this solid.

❤ it and 💯% recommended","watched the movie in cinema  amazing experience the direction acting sound and visuals were all spot on i wasnt into formula 1 before but this really pulled me in hans zimmers music hit all the right notes and brad pitt still brings serious screen presence big credit to joseph kosinski for delivering something this solid

 it and  recommended",Positive
This is masterpiece,this is masterpiece,Neutral
"I can’t see this movie be as successful as the sequel to top Gun, with simple commercialism, top gun sold on its story.",i cant see this movie be as successful as the sequel to top gun with simple commercialism top gun sold on its story,Positive
"Well, this is definitely a movie.",well this is definitely a movie,Neutral
such an awesome movie❤,such an awesome movie,Positive
Ak red dragon❤,ak red dragon,Neutral
Yeah Damson!,yeah damson,Neutral
Won’t ever beat the movie driven!!!!,wont ever beat the movie driven,Neutral
movie was perfect 😍,movie was perfect ,Positive
This is Crazy!!!!,this is crazy,Negative
So this movie is just Pitt pushing another guy against a wall,so this movie is just pitt pushing another guy against a wall,Neutral
the part where goose dies but his son wins the race is my favourite,the part where goose dies but his son wins the race is my favourite,Positive
this movie was sick,this movie was sick,Negative
I love this movie. It really surprised me.,i love this movie it really surprised me,Positive
now that is a movie,now that is a movie,Neutral
World first iphone 15 pro camera shoot movie 🤯❤,world first iphone 15 pro camera shoot movie ,Positive
"-Pitt Pitt 
-Yes i AM a Pitt","pitt pitt 
yes i am a pitt",Neutral
I like the fact we have the Rolex showing up in this movie,i like the fact we have the rolex showing up in this movie,Neutral
Movie is 🔥🔥🔥,movie is ,Neutral
“He’s quick doh”,hes quick doh,Positive
Can't wait for the movie,cant wait for the movie,Neutral
Something after ford vs ferrari 💥💙,something after ford vs ferrari ,Neutral
"Fantastic movie. The race sequences are exactly how I wish we could watch the real F1 races.

Go see this at the cinema rather than streaming, it really benefits from I-Max and a decent cinema sound system.
We need more movies like this available at the cinema, not the superhero dross we've been getting.","fantastic movie the race sequences are exactly how i wish we could watch the real f1 races

go see this at the cinema rather than streaming it really benefits from imax and a decent cinema sound system
we need more movies like this available at the cinema not the superhero dross weve been getting",Positive
"@1:45, He even has the IDF's minder there.",145 he even has the idfs minder there,Neutral
"It's not- ""He is quick doh"", It's actually said ""He is quick though!""",its not he is quick doh its actually said he is quick though,Positive
"If Tom Cruise had taken the lead instead of Brad Pitt, it would’ve been so much more exciting and iconic.",if tom cruise had taken the lead instead of brad pitt it wouldve been so much more exciting and iconic,Positive
a brand new movie that isn't a remake/sequel👍,a brand new movie that isnt a remakesequel,Positive
Solid trailer.,solid trailer,Neutral
Franklin Saint said to forget being a crime boss. Let's become an F1 driver,franklin saint said to forget being a crime boss lets become an f1 driver,Neutral
I didn’t know it existed til now tbh,i didnt know it existed til now tbh,Neutral
The last race of the 2021 season (let alone the entire season) had more movie-material than any made up stuff hollywood can ever come up with. This movie is no match to those of us who experienced the emotions of that year.,the last race of the 2021 season let alone the entire season had more moviematerial than any made up stuff hollywood can ever come up with this movie is no match to those of us who experienced the emotions of that year,Positive
Just finished watching this.. Ilove it.. so nice,just finished watching this ilove it so nice,Positive
Cannot wait,cannot wait,Neutral
I'm loving this movie. I'm buying my ticket now. I also feel like it's been a long time since I saw a Brad Pitt movie.,im loving this movie im buying my ticket now i also feel like its been a long time since i saw a brad pitt movie,Positive
"If Kimi was in the movie: ""Leave me alone, I know what I'm doing! 😂",if kimi was in the movie leave me alone i know what im doing ,Neutral
My car gon be totaled the day after I watch this movie,my car gon be totaled the day after i watch this movie,Neutral
One of the best movie. Must watch guys❤❤❤❤❤,one of the best movie must watch guys,Positive
Basically it's about the F1 cars and the race,basically its about the f1 cars and the race,Neutral
